Answer.English,Answer.country,Answer.profcheck1,Answer.profcheck2,WorkerId,TrialNum,Answer.Rating,TrialType,Voice,Plausibility,Item,Input.trial
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,1,1,AAR,active,plausible1,395,The swimmer impressed the surfer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,2,6,AAR,active,plausible1,217,The entertainer awed the poet.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,3,7,AAR,active,plausible0,391,The sharecropper misled the fieldworker.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,4,4,AAR,active,plausible0,193,The drummer annoyed the weatherman.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,5,4,AAR,active,plausible0,215,The mapmaker affronted the farmer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,6,7,AI,passive,plausible,315,The fund was established by the supremacist.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,7,1,AI,active,implausible,11,The alcohol provided the overseer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,8,7,filler,filler,NA,2,Please select the rightmost option.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,9,7,AAR,passive,plausible1,205,The nobleman was married by the baroness.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,10,1,filler,filler,NA,1,Please select the leftmost option.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,11,1,AAR,active,plausible1,249,The gnome protected the wizard.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,12,6,AAR,passive,plausible0,403,The mathematician was nagged by the physicist.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,13,6,AAN,passive,plausible,327,The actress was cast by the producer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,14,1,AAN,passive,implausible,347,The lion was chased by the tour-guide.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,15,1,AAN,passive,implausible,123,The artisan was trained by the apprentice.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,16,1,AAN,passive,implausible,363,The anthropologist was studied by the tribesman.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,17,1,AAR,passive,plausible0,233,The oracle was baffled by the missionary.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,18,7,AAN,passive,plausible,349,The chiropractor was thanked by the tennis player.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,19,7,AAN,passive,plausible,89,The boy was tutored by the nanny.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,20,1,AI,passive,implausible,45,The decorator were recommended by the curtains.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,21,7,AAR,active,plausible1,195,The defendant belittled the go-between.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,22,6,AAR,passive,plausible1,239,The shrink was commended by the dean.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,23,5,AAN,active,implausible,335,The seaman undercharged the streetwalker.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,24,6,AI,active,plausible,39,The nutritionist detested the marmalade.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,25,5,AAN,active,plausible,359,The president pardoned the traitor.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,26,7,AI,passive,plausible,51,The pill was taken by the convalescent.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,27,1,AAN,active,implausible,151,The infant pampered the father.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,28,1,AI,active,plausible,65,The sightseer misplaced the memento.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,29,7,AI,passive,plausible,75,The graph was created by the bookkeeper.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,30,6,AAN,active,plausible,159,The windbag taunted the recluse.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,31,7,AAR,passive,plausible0,271,The hunter was betrayed by the culprit.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,32,1,AAR,passive,plausible0,199,The stranger was pushed by the acrobat.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,33,7,AI,active,plausible,297,The fisherman emptied the trashcan.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,34,1,AI,active,implausible,61,The computer purchased the instructor.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,35,7,AAN,passive,plausible,129,The cousin was shocked by the genius.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,36,1,AAR,passive,plausible1,387,The baker was mentioned by the miller.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,37,1,AAN,passive,implausible,171,The terrorist was petrified by the first lady.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,38,7,AAN,passive,plausible,145,The kid was reprimanded by the headmaster.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,39,1,AI,passive,implausible,307,The travel-agent was photocopied by the passport.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,40,1,AI,passive,implausible,27,The soldier was raised by the banner.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,41,1,AAN,active,implausible,107,The youth revived the paramedic.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,42,1,AI,passive,implausible,67,The humorist was verified by the schedule.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,43,1,AI,active,implausible,291,The password memorized the hacker.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,44,1,AAN,active,implausible,131,The bureaucrat bribed the smuggler.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,45,7,AAR,active,plausible0,243,The interpreter swindled the messenger.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,46,7,AAN,active,plausible,139,The driver transported the ambassador.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,47,7,AI,active,plausible,17,The receptionist tidied the table.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,48,6,AAR,passive,plausible1,409,The bricklayer was outraged by the crane operator.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,49,7,AAN,active,plausible,337,The jury acquitted the economist.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,50,6,AAN,active,plausible,109,The prankster duped the marketer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,51,1,AAN,active,implausible,355,The deer trapped the huntsman.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,52,7,AI,passive,plausible,289,The umbrella was forgotten by the couch-potato.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,53,1,AAN,passive,implausible,141,The warden was caught by the inmate.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,54,1,AI,active,implausible,323,The contract burned the charlatan.
yes,USA,No,Yes,A2OR46JV43TOJV,1,1,AAN,passive,plausible,177,The tobacconist was cautioned by the environmentalist.
yes,USA,No,Yes,A2OR46JV43TOJV,2,1,AAR,passive,plausible1,265,The postal worker was repulsed by the taxi-driver.
yes,USA,No,Yes,A2OR46JV43TOJV,3,7,AAN,passive,implausible,173,The judge was praised by the gold medalist.
yes,USA,No,Yes,A2OR46JV43TOJV,4,6,AAR,active,plausible0,185,The preacher hugged the churchgoer.
yes,USA,No,Yes,A2OR46JV43TOJV,5,6,AAN,active,plausible,163,The pyromaniac unnerved the shopkeeper.
yes,USA,No,Yes,A2OR46JV43TOJV,6,7,AAN,active,plausible,147,The baron chose the successor.
yes,USA,No,Yes,A2OR46JV43TOJV,7,7,AAR,active,plausible0,375,The photographer paid the barrister.
yes,USA,No,Yes,A2OR46JV43TOJV,8,7,filler,filler,NA,2,Please select the rightmost option.
yes,USA,No,Yes,A2OR46JV43TOJV,9,3,AAN,active,implausible,161,The inspector conned the impersonator.
yes,USA,No,Yes,A2OR46JV43TOJV,10,1,AI,passive,plausible,73,The paper was edited by the advisor.
yes,USA,No,Yes,A2OR46JV43TOJV,11,7,AAR,passive,plausible1,183,The commentator was vexed by the athlete.
yes,USA,No,Yes,A2OR46JV43TOJV,12,1,AAR,active,plausible1,379,The mode humiliated the fashionista.
yes,USA,No,Yes,A2OR46JV43TOJV,13,1,AAR,active,plausible0,399,The claims adjuster harassed the retailer.
yes,USA,No,Yes,A2OR46JV43TOJV,14,1,AAR,passive,plausible0,415,The foreman was devastated by the plumber.
yes,USA,No,Yes,A2OR46JV43TOJV,15,1,AAN,active,implausible,329,The spirit vanquished the exorcist.
yes,USA,No,Yes,A2OR46JV43TOJV,16,1,AAN,passive,implausible,361,The TV station head was promoted by the newsagent.
yes,USA,No,Yes,A2OR46JV43TOJV,17,1,AI,active,plausible,49,The domestic cleaned the wash basin.
yes,USA,No,Yes,A2OR46JV43TOJV,18,1,AAN,active,implausible,353,The ghost sensed the channeler.
yes,USA,No,Yes,A2OR46JV43TOJV,19,1,AAN,passive,implausible,153,The monarch was banished by the insurgent.
yes,USA,No,Yes,A2OR46JV43TOJV,20,1,AAR,passive,plausible0,383,The newcomer was snubbed by the neighbor.
yes,USA,No,Yes,A2OR46JV43TOJV,21,1,AI,passive,plausible,293,The rules were emphasized by the counselor.
yes,USA,No,Yes,A2OR46JV43TOJV,22,1,AI,passive,implausible,87,The celebrity was signed by the photograph.
yes,USA,No,Yes,A2OR46JV43TOJV,23,1,AI,passive,plausible,15,The faucet was repaired by the handyman.
yes,USA,No,Yes,A2OR46JV43TOJV,24,1,AAR,passive,plausible1,397,The infantryman was upset by the loyalist.
yes,USA,No,Yes,A2OR46JV43TOJV,25,1,AAN,active,implausible,125,The trainer defied the biker.
yes,USA,No,Yes,A2OR46JV43TOJV,26,1,AI,active,implausible,47,The trousers laundered the contractor.
yes,USA,No,Yes,A2OR46JV43TOJV,27,6,AI,active,implausible,59,The soda drank the man.
yes,USA,No,Yes,A2OR46JV43TOJV,28,7,AAR,passive,plausible0,263,The leader was quoted by the protestor.
yes,USA,No,Yes,A2OR46JV43TOJV,29,7,AAN,passive,plausible,155,The industrialist was burgled by the robber.
yes,USA,No,Yes,A2OR46JV43TOJV,30,7,AAN,passive,implausible,341,The colonel was supervised by the cadet.
yes,USA,No,Yes,A2OR46JV43TOJV,31,7,AAN,passive,plausible,105,The director was badgered by the admirer.
yes,USA,No,Yes,A2OR46JV43TOJV,32,1,AAR,active,plausible1,259,The vandal confronted the accuser.
yes,USA,No,Yes,A2OR46JV43TOJV,33,1,AAR,active,plausible1,197,The envoy entertained the valet.
yes,USA,No,Yes,A2OR46JV43TOJV,34,2,AI,passive,plausible,57,The steak was eaten by the carnivore.
yes,USA,No,Yes,A2OR46JV43TOJV,35,1,AAR,active,plausible0,237,The broker introduced the donor.
yes,USA,No,Yes,A2OR46JV43TOJV,36,7,AAN,passive,plausible,343,The Olympian was weighed by the personal trainer.
yes,USA,No,Yes,A2OR46JV43TOJV,37,1,AI,passive,implausible,285,The attendant was pressed by the button.
yes,USA,No,Yes,A2OR46JV43TOJV,38,1,AAR,passive,plausible0,207,The creditor was assuaged by the actuary.
yes,USA,No,Yes,A2OR46JV43TOJV,39,1,AI,passive,plausible,321,The pipe was smoked by the crackhead.
yes,USA,No,Yes,A2OR46JV43TOJV,40,7,AAN,active,plausible,331,The paparazzi stalked the pop star.
yes,USA,No,Yes,A2OR46JV43TOJV,41,1,AAR,passive,plausible1,221,The musician was admired by the diva.
yes,USA,No,Yes,A2OR46JV43TOJV,42,1,AI,active,implausible,81,The suitcase pulled the stewardess.
yes,USA,No,Yes,A2OR46JV43TOJV,43,2,AI,passive,implausible,31,The announcer was mispronounced by the word.
yes,USA,No,Yes,A2OR46JV43TOJV,44,7,AI,active,plausible,309,The minuteman loaded the gun.
yes,USA,No,Yes,A2OR46JV43TOJV,45,1,AI,passive,implausible,53,The hoarder was hidden by the stash.
yes,USA,No,Yes,A2OR46JV43TOJV,46,1,AAN,active,plausible,357,The bailiff released the ruffian.
yes,USA,No,Yes,A2OR46JV43TOJV,47,1,AI,active,implausible,301,The poem recited the bookworm.
yes,USA,No,Yes,A2OR46JV43TOJV,48,1,filler,filler,NA,1,Please select the leftmost option.
yes,USA,No,Yes,A2OR46JV43TOJV,49,6,AI,active,implausible,21,The octopus grilled the cook.
yes,USA,No,Yes,A2OR46JV43TOJV,50,1,AI,active,plausible,85,The sheriff inspected the estate.
yes,USA,No,Yes,A2OR46JV43TOJV,51,1,AI,active,plausible,63,The woman prepared the dinner.
yes,USA,No,Yes,A2OR46JV43TOJV,52,1,AI,active,plausible,23,The skipper guaranteed the victory.
yes,USA,No,Yes,A2OR46JV43TOJV,53,1,AAR,active,plausible1,407,The movie star favored the cinematographer.
yes,USA,No,Yes,A2OR46JV43TOJV,54,1,AI,passive,implausible,7,The adventurer was requested by the beverage.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,1,7,AI,passive,plausible,47,The trousers were laundered by the contractor.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,2,1,AI,active,implausible,85,The estate inspected the sheriff.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,3,7,AAN,active,implausible,147,The successor chose the baron.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,4,1,AI,passive,implausible,57,The carnivore was eaten by the steak.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,5,7,AAN,active,plausible,173,The judge praised the gold medalist.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,6,7,AAR,passive,plausible1,185,The preacher was hugged by the churchgoer.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,7,7,AAN,active,plausible,153,The monarch banished the insurgent.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,8,7,AI,active,plausible,53,The hoarder hid the stash.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,9,1,AI,active,implausible,49,The wash basin cleaned the domestic.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,10,6,AAR,passive,plausible1,237,The broker was introduced by the donor.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,11,7,AI,passive,plausible,21,The octopus was grilled by the cook.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,12,6,AAN,active,plausible,361,The TV station head promoted the newsagent.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,13,7,AAN,active,plausible,341,The colonel supervised the cadet.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,14,7,filler,filler,NA,2,Please select the rightmost option.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,15,5,AAR,active,plausible0,197,The valet entertained the envoy.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,16,5,AAN,passive,plausible,125,The trainer was defied by the biker.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,17,5,AAR,passive,plausible0,265,The taxi-driver was repulsed by the postal worker.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,18,7,AAR,active,plausible0,259,The accuser confronted the vandal.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,19,5,AAR,passive,plausible1,375,The photographer was paid by the barrister.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,20,7,AAN,passive,plausible,161,The inspector was conned by the impersonator.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,21,1,AI,passive,implausible,15,The handyman was repaired by the faucet.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,22,7,AAR,passive,plausible0,221,The diva was admired by the musician.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,23,6,AAN,passive,plausible,353,The ghost was sensed by the channeler.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,24,5,AAN,passive,implausible,105,The admirer was badgered by the director.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,25,7,AI,passive,plausible,81,The suitcase was pulled by the stewardess.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,26,7,AI,active,plausible,285,The attendant pressed the button.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,27,5,AAN,active,implausible,163,The shopkeeper unnerved the pyromaniac.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,28,1,AI,active,implausible,63,The dinner prepared the woman.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,29,4,AI,passive,implausible,73,The advisor was edited by the paper.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,30,4,AAN,passive,plausible,329,The spirit was vanquished by the exorcist.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,31,7,AAR,active,plausible0,407,The cinematographer favored the movie star.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,32,5,AAN,passive,implausible,343,The personal trainer was weighed by the Olympian.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,33,6,AAR,active,plausible1,383,The newcomer snubbed the neighbor.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,34,1,filler,filler,NA,1,Please select the leftmost option.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,35,1,AI,active,implausible,23,The victory guaranteed the skipper.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,36,2,AAR,active,plausible0,379,The fashionista humiliated the mode.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,37,6,AAR,passive,plausible0,397,The loyalist was upset by the infantryman.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,38,4,AAN,passive,implausible,155,The robber was burgled by the industrialist.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,39,3,AAN,passive,implausible,177,The environmentalist was cautioned by the tobacconist.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,40,5,AAN,active,implausible,357,The ruffian released the bailiff.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,41,6,AAR,passive,plausible1,399,The claims adjuster was harassed by the retailer.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,42,7,AI,active,plausible,7,The adventurer requested the beverage.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,43,5,AAR,active,plausible1,207,The creditor assuaged the actuary.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,44,7,AAR,passive,plausible0,183,The athlete was vexed by the commentator.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,45,1,AI,passive,implausible,321,The crackhead was smoked by the pipe.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,46,7,AI,passive,plausible,59,The soda was drunk by the man.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,47,1,AI,active,implausible,309,The gun loaded the minuteman.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,48,2,AI,passive,implausible,293,The counselor were emphasized by the rules.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,49,7,AI,passive,plausible,301,The poem was recited by the bookworm.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,50,7,AAR,active,plausible1,263,The leader quoted the protestor.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,51,7,AI,active,plausible,87,The celebrity signed the photograph.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,52,5,AAN,active,implausible,331,The pop star stalked the paparazzi.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,53,7,AI,active,plausible,31,The announcer mispronounced the word.
yes,USA,Yes,Yes,A19WXS1CLVLEEX,54,4,AAR,active,plausible1,415,The foreman devastated the plumber.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,1,7,AI,passive,plausible,291,The password was memorized by the hacker.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,2,1,AI,active,implausible,65,The memento misplaced the sightseer.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,3,7,AAN,active,plausible,171,The terrorist petrified the first lady.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,4,7,AI,passive,plausible,323,The contract was burnt by the charlatan.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,5,7,AI,active,plausible,45,The decorator recommended the curtains.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,6,3,AAN,passive,implausible,89,The nanny was tutored by the boy.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,7,3,AAN,passive,implausible,145,The headmaster was reprimanded by the kid.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,8,2,AI,active,plausible,67,The humorist verified the schedule.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,9,3,AI,passive,implausible,315,The supremacist was established by the fund.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,10,7,filler,filler,NA,2,Please select the rightmost option.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,11,1,filler,filler,NA,1,Please select the leftmost option.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,12,1,AI,active,implausible,17,The table tidied the receptionist.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,13,5,AAR,passive,plausible0,205,The baroness was married by the nobleman.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,14,7,AI,active,plausible,27,The soldier raised the banner.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,15,1,AI,passive,implausible,289,The couch-potato was forgotten by the umbrella.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,16,7,AAN,passive,implausible,129,The genius was shocked by the cousin.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,17,7,AAN,active,plausible,363,The anthropologist studied the tribesman.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,18,1,AAN,active,implausible,337,The economist acquitted the jury.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,19,7,AAN,passive,plausible,151,The infant was pampered by the father.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,20,1,AI,passive,implausible,75,The bookkeeper was created by the graph.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,21,5,AAR,passive,plausible1,243,The interpreter was swindled by the messenger.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,22,5,AAR,active,plausible1,199,The stranger pushed the acrobat.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,23,6,AAN,passive,plausible,335,The seaman was undercharged by the streetwalker.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,24,6,AAR,passive,plausible0,239,The dean was commended by the shrink.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,25,2,AAN,active,implausible,139,The ambassador transported the driver.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,26,5,AAR,passive,plausible1,193,The drummer was annoyed by the weatherman.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,27,7,AAN,active,plausible,141,The warden caught the inmate.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,28,7,AAN,active,plausible,347,The lion chased the tour-guide.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,29,5,AAR,active,plausible0,217,The poet awed the entertainer.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,30,1,AAN,passive,implausible,327,The producer was cast by the actress.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,31,7,AAR,active,plausible0,249,The wizard protected the gnome.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,32,6,AAR,active,plausible0,395,The surfer impressed the swimmer.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,33,1,AI,active,implausible,39,The marmalade detested the nutritionist.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,34,6,AAN,active,plausible,123,The artisan trained the apprentice.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,35,1,AAN,active,implausible,359,The traitor pardoned the president.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,36,7,AI,active,plausible,307,The travel-agent photocopied the passport.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,37,6,AAR,active,plausible1,233,The oracle baffled the missionary.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,38,5,AI,passive,plausible,11,The alcohol was provided by the overseer.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,39,7,AI,passive,plausible,61,The computer was purchased by the instructor.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,40,6,AAR,passive,plausible0,387,The miller was mentioned by the baker.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,41,7,AAN,passive,implausible,349,The tennis player was thanked by the chiropractor.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,42,6,AAN,active,implausible,109,The marketer duped the prankster.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,43,6,AAR,active,plausible1,403,The mathematician nagged the physicist.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,44,6,AAR,active,plausible0,195,The go-between belittled the defendant.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,45,6,AAR,active,plausible1,271,The hunter betrayed the culprit.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,46,5,AAN,active,implausible,159,The recluse taunted the windbag.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,47,1,AI,active,implausible,297,The trashcan emptied the fisherman.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,48,6,AAR,passive,plausible0,409,The crane operator was outraged by the bricklayer.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,49,7,AAN,passive,plausible,355,The deer was trapped by the huntsman.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,50,6,AAN,passive,plausible,131,The bureaucrat was bribed by the smuggler.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,51,1,AI,passive,implausible,51,The convalescent was taken by the pill.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,52,5,AAR,passive,plausible1,215,The mapmaker was affronted by the farmer.
yes,USA,Yes,Yes,A1XVEKS9O73ERE,53,7,AAN,passive,plausible,107,The youth was revived by the paramedic.
