"WorkerId","HITId","num_questions","num_missed","ratio_missed","native_english","country_usa","filler1","filler2","fillers_correct"
"A27VFM67RPD2L5","3ECKRY5B1QWX5OTNX37J64ZF3XEZIN",42,0,0,TRUE,TRUE,1,7,TRUE
"A2M5OXOREG5HYY","33TGB4G0LPHY979JQXI2NQLD6EWTX1",42,0,0,TRUE,TRUE,1,7,TRUE
"A3F3A89U4ZXJJD","3MVY4USGB6N04C792BDBAB2CGIEIS1",42,0,0,TRUE,TRUE,1,7,TRUE
"A147F5PJTHOB8A","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A1945USNZHTROX","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1B1Y6OBCA7XTZ","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1B5SSGMTAQ9B5","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A1BNYBF79IQ89T","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A1F3XD5WEK7H7E","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A1F9KLZGHE9DTA","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A1KS9LITOVPAT8","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1LTJHPUTL7WM9","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1M682B2WUSYJP","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A1P6OXEJ86HQRM","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1SISJL5ST2PWH","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1VR1XQEQQXYUE","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A1WS9UHL45VZ0X","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1XVEKS9O73ERE","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1Z26KLD8VFYUD","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A23KAJRDVCVGOE","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A248QG4DPULP46","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A2541C8MY0BYV3","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A2E0LU8V4EUX5C","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A2EI9E6EBZEZO1","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A2FGKKWP33DFWS","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A2JDYN6QM8M5UN","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A2XQ3CFB5HT2ZQ","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A2Y6K5DW6G7H0T","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A30HUZHJBOX1LK","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A3908297ZI3LES","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A3FOKP72T5I4FR","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A3K9GTQBOI7O5A","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A3PLWSCPFLCEGI","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A3UPZ88FI1EJC","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A8028AFBBS29G","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"AFDC9A6Z60W2Z","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"AQMJMYR9MANOG","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"AVZOC3OGBQRX2","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"AZOT44NUTXOYT","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A11YS0T8MV3Q7C","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A12FTSX85NQ8N9","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A18VIO909RWY6D","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A1JJYY622DGE5L","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A1JVO7FLPATHUB","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A1P2RQ166VS5BT","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,0,0,TRUE,TRUE,1,7,TRUE
"A1ZDR2UN7M92LI","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,0,0,TRUE,TRUE,1,7,TRUE
"A20X14OMRL0YPZ","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A2CWJRAEFZ44HU","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A2DVJ6OMVVYTC7","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A2GTJ0BD4CG1A2","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A2OVWCQ4B9AHFY","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,0,0,TRUE,TRUE,1,7,TRUE
"A2QD7QFGCUNF5N","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"A2V27A9GZA1NR2","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A2VB8KX3XUA6WU","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A2XPWASDT8AYXH","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A2YAYHZYI7M3HD","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,0,0,TRUE,TRUE,1,7,TRUE
"A2YCMT5BPA0AG9","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A2YGOORS5N9RW8","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"A2ZA3X3DBEMBCD","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,0,0,TRUE,TRUE,1,7,TRUE
"A3D2GO0IFRFN6R","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"A3DS5B06ZCD3E3","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"A3FT3XPTOWHJMY","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"A3KF6O09H04SP7","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,0,0,TRUE,TRUE,1,7,TRUE
"A3MFK5UEUG95M3","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A3PYD7EU2WFST6","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"A3SH7B3UK915FC","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,3,0.0714285714285714,TRUE,TRUE,1,7,TRUE
"A64JDJKE9DYCT","31ODACBENUFDLAVSFJIKJDTY7SXQSE",42,0,0,TRUE,TRUE,1,7,TRUE
"AAOEHS9LFB8KA","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"AC5UD8N187QD6","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"AJRY9ALX8069Y","3VMV5CHJZ8FNNLET1NIYZ4LI3O2TGB",42,0,0,TRUE,TRUE,1,7,TRUE
"AKMIORNF40ST7","388FBO7JZRTPEZU9YXISX5MUJ26YND",42,2,0.0476190476190476,TRUE,TRUE,1,7,TRUE
"ARWN6TT8EWCFJ","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"AUQ79MANVDU9B","3X52SWXE0X52YQ2IU6RQWX729QSWCU",42,0,0,TRUE,TRUE,1,7,TRUE
"A13I3UTEFM8852","3FDWKV9VCN22F8P4CV63H5RHIORUMH",42,0,0,TRUE,TRUE,1,7,TRUE
"A1AS4S7BOJPOEY","30U1YOGZGAWJW1RNAXC0JEMZODESDH",42,0,0,TRUE,TRUE,1,7,TRUE
"A1FKRZKU1H9YFC","3NI0WFPPI9GKAJSWR8L2326OCZ906B",42,0,0,TRUE,TRUE,1,7,TRUE
"A1KWC8TW8ANBQ8","3VZYA8PITOYORFSIMPBXBWSOG4Y05V",42,0,0,TRUE,TRUE,1,7,TRUE
"A1QIR3JFR56TKL","3NI0WFPPI9GKAJSWR8L2326OCZ906B",42,0,0,TRUE,TRUE,1,7,TRUE
"A1XXNB42VP10RB","3FDWKV9VCN22F8P4CV63H5RHIORUMH",42,0,0,TRUE,TRUE,1,7,TRUE
"A1YH2I4Y2SYAXJ","3VZYA8PITOYORFSIMPBXBWSOG4Y05V",42,0,0,TRUE,TRUE,1,7,TRUE
"A1Z1O6MMOB3UWW","30U1YOGZGAWJW1RNAXC0JEMZODESDH",42,0,0,TRUE,TRUE,1,7,TRUE
"A28RAZB2S5TF4N","3FDWKV9VCN22F8P4CV63H5RHIORUMH",42,0,0,TRUE,TRUE,1,7,TRUE
"A29SJZ0IEOHGMB","3FDWKV9VCN22F8P4CV63H5RHIORUMH",42,2,0.0476190476190476,TRUE,TRUE,1,7,TRUE
"A2PXJTMWGUE5DC","30U1YOGZGAWJW1RNAXC0JEMZODESDH",42,0,0,TRUE,TRUE,1,7,TRUE
"A2VNSNAN1LZBAM","3NI0WFPPI9GKAJSWR8L2326OCZ906B",42,0,0,TRUE,TRUE,1,7,TRUE
"A2ZL7BZA7RRMIN","3FDWKV9VCN22F8P4CV63H5RHIORUMH",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A326O3VWP8TO8N","3FDWKV9VCN22F8P4CV63H5RHIORUMH",42,0,0,TRUE,TRUE,1,7,TRUE
"A3CQDCNYJAX2X3","3NI0WFPPI9GKAJSWR8L2326OCZ906B",42,0,0,TRUE,TRUE,1,7,TRUE
"A3D3MQ814FCE0W","30U1YOGZGAWJW1RNAXC0JEMZODESDH",42,0,0,TRUE,TRUE,1,7,TRUE
"A3KSTXZKLRE3UC","3VZYA8PITOYORFSIMPBXBWSOG4Y05V",42,0,0,TRUE,TRUE,1,7,TRUE
"A3MYPYBVHX7FQ2","30U1YOGZGAWJW1RNAXC0JEMZODESDH",42,0,0,TRUE,TRUE,1,7,TRUE
"A3QZEKY53Y1IC6","3NI0WFPPI9GKAJSWR8L2326OCZ906B",42,0,0,TRUE,TRUE,1,7,TRUE
"A4E818Z7A5FST","3VZYA8PITOYORFSIMPBXBWSOG4Y05V",42,2,0.0476190476190476,TRUE,TRUE,1,7,TRUE
"AMPMTF5IAAMK8","3NI0WFPPI9GKAJSWR8L2326OCZ906B",42,0,0,TRUE,TRUE,1,7,TRUE
"AVPKE76DJLWK6","30U1YOGZGAWJW1RNAXC0JEMZODESDH",42,0,0,TRUE,TRUE,1,7,TRUE
"AZ69TBTDH7AZS","3VZYA8PITOYORFSIMPBXBWSOG4Y05V",42,0,0,TRUE,TRUE,1,7,TRUE
